id,practical time,polygon, theoretical time,SEC diameter,polygon area,number of robots
61,67100,(55.000000 94.000000)(10.000000 76.000000)(22.000000 35.000000)(71.000000 48.000000),135588.841834,67.794421,2261.500000,15
61,66100,(55.000000 94.000000)(10.000000 76.000000)(22.000000 35.000000)(71.000000 48.000000),135588.841834,67.794421,2261.500000,16
61,69700,(55.000000 94.000000)(10.000000 76.000000)(22.000000 35.000000)(71.000000 48.000000),135588.841834,67.794421,2261.500000,17
61,64800,(55.000000 94.000000)(10.000000 76.000000)(22.000000 35.000000)(71.000000 48.000000),135588.841834,67.794421,2261.500000,19
61,74400,(55.000000 94.000000)(10.000000 76.000000)(22.000000 35.000000)(71.000000 48.000000),135588.841834,67.794421,2261.500000,20
61,64500,(55.000000 94.000000)(10.000000 76.000000)(22.000000 35.000000)(71.000000 48.000000),135588.841834,67.794421,2261.500000,23
61,55900,(55.000000 94.000000)(10.000000 76.000000)(22.000000 35.000000)(71.000000 48.000000),135588.841834,67.794421,2261.500000,26
