Setting number, Number of robots, Robots velocity, Locusts velocity, Algorithm, Reaching time to MEP, Living locusts, Dead locusts, Run away locusts, Living locusts in MEP, Polygon Area, Polygon circumference, Long edge length, Short edge length, Ratio between long edge length to short edge length
1,20,8,6.0,Spiral,22200,32,68,32,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4700,53,47,51,2,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4700,55,45,54,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4700,62,38,61,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4700,54,46,53,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4700,56,44,55,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4700,52,48,52,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4700,51,49,50,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4700,54,46,52,2,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4700,50,50,48,2,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4700,51,49,51,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4700,56,44,56,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4700,48,52,47,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4700,55,45,54,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4700,54,46,53,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4700,52,48,51,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4700,58,42,55,3,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4700,50,50,47,3,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4700,51,49,48,3,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4700,48,52,48,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,20,8,6.0,Straight,4700,53,47,53,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,Spiral,24800,5,95,5,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,Spiral,24800,8,92,8,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,Spiral,24800,10,90,10,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,Spiral,24800,5,95,5,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,Spiral,24800,6,94,5,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,Spiral,24800,8,92,8,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,Spiral,24800,4,96,4,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,Spiral,24800,7,93,7,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,30,8,2.0,Spiral,24800,6,94,5,1,1896.00000,165.32700,37.64306,13.34166,2.82147
