id,practical time,polygon, theoretical time,SEC diameter,polygon area,number of robots
61,60200,(32.000000 96.000000)(17.000000 72.000000)(41.000000 43.000000)(70.000000 59.000000)(73.000000 72.000000)(68.000000 87.000000),112734.267288,56.367134,1896.000000,14
61,55100,(32.000000 96.000000)(17.000000 72.000000)(41.000000 43.000000)(70.000000 59.000000)(73.000000 72.000000)(68.000000 87.000000),112734.267288,56.367134,1896.000000,14
61,57000,(32.000000 96.000000)(17.000000 72.000000)(41.000000 43.000000)(70.000000 59.000000)(73.000000 72.000000)(68.000000 87.000000),112734.267288,56.367134,1896.000000,15
61,52700,(32.000000 96.000000)(17.000000 72.000000)(41.000000 43.000000)(70.000000 59.000000)(73.000000 72.000000)(68.000000 87.000000),112734.267288,56.367134,1896.000000,17
61,51200,(32.000000 96.000000)(17.000000 72.000000)(41.000000 43.000000)(70.000000 59.000000)(73.000000 72.000000)(68.000000 87.000000),112734.267288,56.367134,1896.000000,18
61,57700,(32.000000 96.000000)(17.000000 72.000000)(41.000000 43.000000)(70.000000 59.000000)(73.000000 72.000000)(68.000000 87.000000),112734.267288,56.367134,1896.000000,20
61,58500,(32.000000 96.000000)(17.000000 72.000000)(41.000000 43.000000)(70.000000 59.000000)(73.000000 72.000000)(68.000000 87.000000),112734.267288,56.367134,1896.000000,23
