Setting number, Number of robots, Robots velocity, Locusts velocity, Number of dead robots, Algorithm, Reaching time to MEP, Living locusts, Dead locusts, Run away locusts, Living locusts in MEP, Polygon Area, Polygon circumference, Long edge length, Short edge length, Ratio between long edge length to short edge length
1,40,8,2.0,4,ZigZag,17000,7,93,6,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,ZigZag,17000,6,94,6,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,ZigZag,17000,4,96,3,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,ZigZag,17000,5,95,5,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,ZigZag,17000,4,96,4,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,ZigZag,17000,5,95,4,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,ZigZag,17000,4,96,4,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,ZigZag,17000,8,92,7,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,ZigZag,17000,4,96,4,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,2,98,2,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,1,99,1,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,2,98,2,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,1,99,1,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,2,98,2,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,1,99,1,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,3,97,3,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,1,99,1,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,1,99,1,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,1,99,1,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,2,98,2,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,1,99,1,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,2,98,2,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,1,99,1,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,1,99,1,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,1,99,1,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,1,99,1,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,1,99,1,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,2,98,2,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,1,99,1,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,2,98,2,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,1,99,1,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,1,99,1,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,1,99,1,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,0,100,0,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,2.0,4,FullRound,125200,1,99,1,0,1896.00000,165.32700,37.64306,13.34166,2.82147
